No. Drawing ,Trench No.,Layer,Piece,Clay Paste,Colour of Wash/Slip,Wash/Slip,Position of Wash/Slip,Chamotte,Inside Quality,Outside Quality,Firing Rate,Rate of Saftly,Inside Painting,Painting Pattern,Colour of Painting,Outside Painting,Painting Pattern,Colour of Painting,Inside Engraving,Outside Engraving,Engraving Pattern,Drawing/Shape,Comparable Site,Phase/Period,Reference 
58,S.T.1,S.U 26,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 1"
59,S.T.1,S.U 26,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,Drawing,Gardan Rag (AF),Survey,"Fairservis, 1961, P: 48, NO: 50"
60,S.T.1,S.U 26,Body,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,Outside,Mixed,Black,,,,Drawing,Miri Qalat (P),Period: IIIb ,"Didier, 2007, P: 107, Fig: 95, NO: 237"
61,S.T.1,S.U 26,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Mixed,Brown,,,,,,,
62,S.T.1,S.U 26,Body,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Geometric,Brown,,,,Drawing,Miri Qalat (P),Period: IIIc ,"Didier, 2007, P: 209, Fig:198, NO: D372a"
63,S.T.1,S.U 26,Body,Buff,Buff,Slip,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
64,S.T.1,S.U 26,Base,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,,,,,,,,,,
65,S.T.1,S.U 26,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
66,S.T.1,S.U 26,Base,Buff,Buff,Slip,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
67,S.T.1,S.U 26,Base,Dark Red,Dark Red,Slip,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,,,,,,,,,,
68,S.T.1,S.U 26,Rim,Dark Red,Buff,Slip,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 1"
69,S.T.1,S.U 26,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 116, Fig: 145, NO: 1"
70,S.T.1,S.U 26,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 1-0 ,"Salvatori, Vidale,1997, P: 102, Fig: 116, NO: 2"
71,S.T.1,S.U 26,Rim,Dark Red,Dark Red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Biscione,1987, P: 396, Fig: 3, NO: G"
72,S.T.1,S.U 26,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 131, Fig: 171, NO: 4"
73,S.T.1,S.U 26,Body,Buff,Buff,Slip,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
74,S.T.1,S.U 26,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Black,,,,,,,
75,S.T.1,S.U 26,Rim,Buff,Buff,Slip,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 3"
76,S.T.1,S.U 26,Rim,Buff,Buff,Slip,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 5"
77,S.T.1,S.U 26,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 3"
78,S.T.1,S.U 26,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,Outside,Mixed,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 118, Fig: 148"
79a,S.T.1,S.U 26,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Animal,Multi color,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 118, Fig: 148"
79b,S.T.1,S.U 26,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Animal,Multi color,,,,Drawing,Mundigak (AF),Period: IV1 ,"Casal, 1961, Fig: 86, NO: 334"
80a,S.T.1,S.U 26,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 118, Fig: 148"
80b,S.T.1,S.U 26,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,Drawing,Mundigak (AF),Period: IV1 ,"Casal, 1961, Fig: 86, NO: 334"
81,S.T.1,S.U 26,Rim,Buff,Buff,Slip,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 118, Fig: 148"
82,S.T.1,S.U 26,Body,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 118, Fig: 148"
1,S.T.1,S.U 27,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 133, Fig: 176, NO: 3"
2,S.T.1,S.U 27,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 133, Fig: 175, NO: 1"
3,S.T.1,S.U 27,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 3"
4,S.T.1,S.U 27,Rim,Dark Red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 135, Fig: 179, NO: 3"
5,S.T.1,S.U 27,Rim,Buff,Buff,Wash,Inside/Outside,Very Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 130, Fig: 170, NO: 2"
6,S.T.1,S.U 27,Rim,Dark Red,Buff,Slip,Inside/Outside,Coarse,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 133, Fig: 175, NO: 2"
7,S.T.1,S.U 27,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale,1997, P: 114, Fig: 141, NO: 1"
8a,S.T.1,S.U 27,Rim,Buff,Buff,Slip,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,Outside,Geometric,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale,1997, P: 115, Fig: 142, NO: 1"
8b,S.T.1,S.U 27,Rim,Buff,Buff,Slip,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,Outside,Geometric,Shape,Mundigak (AF),Period: IV1,"Casal, 1961, Fig: 67, NO: 198a"
9,S.T.1,S.U 27,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 133, Fig: 175, NO: 1"
10,S.T.1,S.U 27,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale,1997, P: 114, Fig: 141, NO: 1"
11,S.T.1,S.U 27,Body,Dark Red,Buff,Slip,Inside/Outside,Coarse,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
12,S.T.1,S.U 27,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Herbal,Black,,,,Drawing,Mundigak (AF),Period: IV1,"Casal, 1961, Fig: 67, NO: 200"
13a,S.T.1,S.U 27,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Black,,,,Drawing,Bampur,Bampur I-IV,"De cardi,1970, P: 278, Fig: 16, NO: 16"
13b,S.T.1,S.U 27,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Black,,,,Drawing,Quetta (P),Damb Sadaat III ,"Fairservis, 1956,P: 293, Fig: 257"
13c,S.T.1,S.U 27,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Black,,,,Drawing,Gardan Rag (AF),Survey,"Fairservis, 1961, P: 111, Fig: 91"
14,S.T.1,S.U 27,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Black,,,,Drawing,Bampur,Bampur I-IV,"De cardi,1970, P: 278, Fig: 16, NO: 16"
15,S.T.1,S.U 27,Body,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Geometric,Black,,,,,,,
16,S.T.1,S.U 27,Body,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
17,S.T.1,S.U 27,Body,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,Drawing,Bampur,Bampur I-IV,"De cardi,1970, P: 278, Fig: 16, NO: 16"
18,S.T.1,S.U 27,Body,Buff,Buff,Slip,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,Drawing,Bampur,Bampur I-IV,"De cardi,1970, P: 278, Fig: 16, NO: 16"
19,S.T.1,S.U 27,Body,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Black,,,,,,,
20,S.T.1,S.U 27,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Black,,,,,,,
21,S.T.1,S.U 27,Body,Dark Red,,,,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
22,S.T.1,S.U 27,Body,Dark Red,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
23,S.T.1,S.U 27,Base,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,Outside,Potter's mark,,,,
24,S.T.1,S.U 27,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
25,S.T.1,S.U 27,Base,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,,,,
26,S.T.1,S.U 27,Rim,Buff,Buff,Slip,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 1"
27,S.T.1,S.U 27,Rim,Dark Red,Buff,Wash,Inside/Outside,Very Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 149, Fig: 199, NO: 4"
28,S.T.1,S.U 27,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 149, Fig: 199, NO: 1"
29,S.T.1,S.U 27,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
30a,S.T.1,S.U 27,Rim-Base,Dark Red,Red,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Mixed,Brown,,,,Drawing,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 144, Fig: 190, NO: 2"
30b,S.T.1,S.U 27,Rim-Base,Dark Red,Red,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Mixed,Brown,,,,Drawing,Bampur,Bampur I-IV,"De cardi,1970, P: 288, Fig: 23, NO: 80"
30c,S.T.1,S.U 27,Rim-Base,Dark Red,Red,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Mixed,Brown,,,,Drawing,Damin,Bampur IV,"Tosi, 1970, P: 37, Fig: 20, NO:D"
30d,S.T.1,S.U 27,Rim-Base,Dark Red,Red,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Mixed,Brown,,,,Drawing,Tepe Yahya,Period: IVb-c,"Karlovski, 1971, P: 93, Fig: 3, NO:F"
30e,S.T.1,S.U 27,Rim-Base,Dark Red,Red,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Mixed,Brown,,,,Drawing,Shahdad,Ghabrestan B,"Hakemi, 1997, P: 200, Fig: 23, NO: 0122/0187"
30f,S.T.1,S.U 27,Rim-Base,Dark Red,Red,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Mixed,Brown,,,,Drawing,Mundigak (AF),Period: IV3,"Shaffer, 1978, P: 136, Fig: 3-31, NO: 6"
30g,S.T.1,S.U 27,Rim-Base,Dark Red,Red,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Mixed,Brown,,,,Drawing,Deh Morasi Ghundai (AF),Nurzai,"Dupree, 1963, P: 86, NO: 52"
30h,S.T.1,S.U 27,Rim-Base,Dark Red,Red,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Mixed,Brown,,,,Drawing,Gardan Rag (AF),Survey,"Fairservis,1961, P: 111, Fig: 91"
1,S.T.1,S.U 28,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,Outside,Geometric,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 149, Fig: 198, NO: 3"
2,S.T.1,S.U 28,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 116, NO: 1"
3a,S.T.1,S.U 28,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 103, Fig: 118, NO: F"
3b,S.T.1,S.U 28,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Tepe Yahya,Period: IVB1,"Potts, 2001, P: 33, Fig: 6.11.B"
4,S.T.1,S.U 28,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 116, NO: 1"
5,S.T.1,S.U 28,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 3"
6,S.T.1,S.U 28,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
7,S.T.1,S.U 28,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,Outside,Geometric,,,,
1,S.T.1,S.U 31,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"alvatori, Vidale,1997, P: 115, Fig: 142, NO: 1"
2,S.T.1,S.U 31,Rim,Buff,Buff,Wash,Inside/Outside,Coarse,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"alvatori, Vidale,1997, P: 115, Fig: 142, NO: 1"
3,S.T.1,S.U 31,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 116, Fig: 145, NO: 1"
4,S.T.1,S.U 31,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 5"
5,S.T.1,S.U 31,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 5"
6,S.T.1,S.U 31,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 1"
7,S.T.1,S.U 31,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale,1997, P: 113, Fig: 138, NO: 4"
8,S.T.1,S.U 31,Rim,Dark Red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,Outside,Geometric,Black,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 3"
9,S.T.1,S.U 31,Body,Dark Red,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Black,,,,,,,
10,S.T.1,S.U 31,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
11,S.T.1,S.U 31,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
12,S.T.1,S.U 31,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Fine,Medium,Sufficient,Good,Inside,Geometric,Black,Outside,Geometric,Black,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 5"
1,S.T.1,S.U 33,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
2,S.T.1,S.U 33,Rim,Buff,Buff,Wash,Inside/Outside,Very Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 150, Fig: 201, NO: 2/3"
3,S.T.1,S.U 33,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Bad,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 130, Fig: 170, NO: 4"
4,S.T.1,S.U 33,Rim,Buff,Buff,Wash,Inside/Outside,Very Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 3"
5,S.T.1,S.U 33,Rim,Buff,Buff,Wash,Inside/Outside,Very Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 3"
6,S.T.1,S.U 33,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 147, Fig: 195, NO: 2"
7,S.T.1,S.U 33,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 8-7,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 5"
8,S.T.1,S.U 33,Rim,Dark Red,Buff,Wash,Inside/Outside,Very Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,,,,
9,S.T.1,S.U 33,Rim,Dark Red,Buff,Wash,Inside/Outside,Very Fine,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 8-7,"Salvatori, Vidale,1997, P: 84, Fig: 82, NO: 5"
10,S.T.1,S.U 33,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
11,S.T.1,S.U 33,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
12,S.T.1,S.U 33,Rim,Buff,Buff,Wash,Inside/Outside,Very Fine,Fine,Fine,Sufficient,Good,Inside,Geometric,Brown,,,,,,,,,,
13,S.T.1,S.U 33,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 5"
14,S.T.1,S.U 33,Body,Red,Red,Wash,Inside/Outside,Very Fine,Fine,Fine,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
15,S.T.1,S.U 33,Body,Red,Red,Wash,Inside/Outside,Very Fine,Fine,Fine,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
16,S.T.1,S.U 33,Body,Dark Red,Dark Red,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Geometric,Brown,,Outside,Potter's mark,,,,
17,S.T.1,S.U 33,Base,Dark Red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,Inside,Geometric,Brown,,,,,,,,,,
18,S.T.1,S.U 33,Rim,Dark Red,Buff,Wash,Inside/Outside,Very Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,,,,
19,S.T.1,S.U 33,Body,Dark Red,Dark Red,Wash,Inside/Outside,Very Fine,Fine,Fine,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,,,,
20,S.T.1,S.U 33,Rim,Dark Red,Dark Red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale,1997, P: 114, Fig: 141, NO: 4"
21,S.T.1,S.U 33,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 5"
22,S.T.1,S.U 33,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 147, Fig: 195, NO: 2"
23,S.T.1,S.U 33,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 153, Fig: 206, NO: 5"
24,S.T.1,S.U 33,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,,,,,,,,,,
25,S.T.1,S.U 33,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 147, Fig: 195, NO: 2"
26,S.T.1,S.U 33,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Black,,,,,,,
27,S.T.1,S.U 33,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,,,,
28,S.T.1,S.U 33,Base,Dark Red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,Outside,Geometric,Black,,,,,,,
29,S.T.1,S.U 33,Rim,Dark Red,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 144, Fig: 190, NO: 1"
30a,S.T.1,S.U 33,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Herbal,Black,,,,Drawing,Miri Qalat (P),Period: IIIb ,"Didier, 2007, P: 107, Fig: 95, NO: 231"
30b,S.T.1,S.U 33,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Herbal,Black,,,,Drawing,Gardan Rag (AF),Survey,"Fairservis, 1961, P: 107, NO: 37"
1,S.T.1,S.U 34,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
2a,S.T.1,S.U 34,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 151, Fig: 203, NO: 2"
