No. Drawing ,Trench No.,Layer,Piece,Clay Paste,Colour of Wash/Slip,Wash/Slip,Position of Wash/Slip,Chamotte,Inside Quality,Outside Quality,Firing Rate,Rate of Saftly,Inside Painting,Painting Pattern,Colour of Painting,Outside Painting,Painting Pattern,Colour of Painting,Inside Engraving,Outside Engraving,Engraving Pattern,Drawing/Shape,Comparable Site,Phase/Period,Reference 
11,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 144, Fig: 190, NO: 6 "
12,S.T.1,S.U 2,Rim,Dark Red,Dark Red,Wash,Inside/Outside,Fine,Fine,Medium,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 148, Fig: 197, NO: 3 "
13,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 116, Fig: 145, NO: 1 "
14a,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 151, Fig: 198, NO: 5 "
14b,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Bampur,Bampur VI ,"De cardi,1970, P: 317, Fig: 43, NO: 437 "
14c,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Mundigak (AF),Period: IV2 ,"Casal,1961, Fig: 92, NO: 397 "
15,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 1 "
16,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 130, Fig: 170, NO: 4 "
17,S.T.1,S.U 2,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 5 "
18,S.T.1,S.U 2,Rim,Dark Red,Dark Red,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 1 "
19,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Deficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 130, Fig: 170, NO: 4 "
20,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Good,,,,,,,,,,,,,
21,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 130, Fig: 170, NO: 6 "
22,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 4 "
23,S.T.1,S.U 2,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,bad,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 4 "
24,S.T.1,S.U 2,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Deficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 147, Fig: 194, NO: 4 "
25,S.T.1,S.U 2,Rim,Dark Red,Dark Red,Wash,Inside/Outside,Medium-sized,Fine,Coarse,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 105, Fig: 123, NO: 2 "
26,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Medium,Deficient,Good,Inside,Geometric,Brown,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 4 "
27,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,,,,
28,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 3 "
29,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Coarse,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 3 "
30,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 107, Fig: 126, NO: 1 "
31,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Coarse,Medium,Fine,Deficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 107, Fig: 127, NO: 4 "
32,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Fine,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 3 "
